crop,category,teks_ocr,kalimat_koreksi,paddleocr_out
crops/ITIEC_SEM_QQQ_20260512_0176_2.jpg,SEM,Penjual gadis,Dicari Pramuniaga Wanita,Penjual gadis
crops/ITIEC_SEM_QQQ_20260512_0176_3.jpg,SEM,Sales girl wanted,Dibutuhkan Sales Wanita,Sales girl wanted
crops/ITIEC_SIN_QQQ_20260512_0186_1.jpg,SIN,KAWASAN BERPAKAIAN SOPAN BEBAS ROKOK DAN,Kawasan berpakaian sopan dan bebas rokok,KAWASAN BERPAKAIAN SOPAN BEBAS ROKOK DAN
crops/ITIEC_SIN_QQQ_20260512_0045_1.jpg,SIN,SEDIA: BERMACAM-MACAM GORENGAN DAN,Tersedia berbagai macam gorengan,SEDIA: BERMACAM-MACAM GORENGAN DAN
crops/ITIEC_TIP_QQQ_20260512_0328_1.jpg,TIP,ROEMAH MOBIL,Rumah Mobil,ROEMAH MOBI
crops/ITIEC_TIP_QQQ_20260512_0422_1.jpg,TIP,TEMPAH Ruang Iklan Hari ini,Tempah Ruang Iklan Hari ini,TEMPAH Ruang Iklan ari ini
crops/ITIEC_TIP_QQQ_20260512_0513_1.jpg,TIP,MIE AYAM BAKAR WONOGIRI,Mie Ayam Bakar Wonogiri,MIEAYAM BAKD WONOGIRI RATISSEUN
crops/ITIEC_TIP_QQQ_20260512_0513_2.jpg,TIP,GRATIS SEUMUR HIDUP YANG NAMANYA RIFIN,Gratis seumur hidup yang namanya Rifin,GRATIS SEUMURHIDUP YANG NAMANYA RIEIN
crops/ITIEC_TIP_QQQ_20260512_0513_3.jpg,TIP,TERSEDIA JUGA TAHU BAKSO,Tersedia juga Tahu Bakso,TERSEDIA JUGA TAHU BAKSO
crops/ITIEC_TIP_QQQ_20260512_0429_1.jpg,TIP,HATI HATI PELAN PELAN MEMASUKI KAWASAN PERUMAHAN,Hati-hati Pelan-pelan Memasuki kawasan perumahan,HATI MEMASUKI KAWASAN PERUMAHAN
crops/ITIEC_TIP_QQQ_20260512_0518_1.jpg,TIP,"TOKO AL-BAROKAH Sedia Roko, Kopi, Susu, Dll","Toko Al-Barokah Sedia Roko, Kopi, Susu, dll.","TOKO AL-BAROKAH Sedia Roko.Kopi,Susu.Dl"
